07:40:30.952521 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/bin
07:40:30.982375 git.c:502               trace: built-in: git push origin main --force
07:40:30.984384 run-command.c:674       trace: run_command: GIT_DIR=.git git remote-https origin https://github.com/dobleduche/aivis-ai-visibility-intelligence-audits.git
07:40:30.984384 run-command.c:935       trace: start_command: git remote-https origin https://github.com/dobleduche/aivis-ai-visibility-intelligence-audits.git
07:40:31.013151 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
07:40:31.037544 git.c:809               trace: exec: git-remote-https origin https://github.com/dobleduche/aivis-ai-visibility-intelligence-audits.git
07:40:31.037544 run-command.c:674       trace: run_command: git-remote-https origin https://github.com/dobleduche/aivis-ai-visibility-intelligence-audits.git
07:40:31.038546 run-command.c:935       trace: start_command: git-remote-https origin https://github.com/dobleduche/aivis-ai-visibility-intelligence-audits.git
07:40:31.064371 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
07:40:31.106052 http.c:915              == Info: Couldn't find host github.com in the .netrc file; using defaults
07:40:31.189365 http.c:915              == Info: Host github.com:443 was resolved.
07:40:31.189365 http.c:915              == Info: IPv6: (none)
07:40:31.189365 http.c:915              == Info: IPv4: 140.82.113.4
07:40:31.189365 http.c:915              == Info:   Trying 140.82.113.4:443...
07:40:31.293987 http.c:915              == Info: schannel: disabled automatic use of client certificate
07:40:31.297660 http.c:915              == Info: ALPN: curl offers http/1.1
07:40:31.664077 http.c:915              == Info: ALPN: server accepted http/1.1
07:40:31.664077 http.c:915              == Info: Established connection to github.com (140.82.113.4 port 443) from 192.168.86.24 port 52159 
07:40:31.664077 http.c:915              == Info: using HTTP/1.x
07:40:31.664077 http.c:862              => Send header, 0000000232 bytes (0x000000e8)
07:40:31.664077 http.c:874              => Send header: GET /dobleduche/aivis-ai-visibility-intelligence-audits.git/info/refs?service=git-receive-pack HTTP/1.1
07:40:31.664077 http.c:874              => Send header: Host: github.com
07:40:31.664077 http.c:874              => Send header: User-Agent: git/2.52.0.windows.1
07:40:31.664077 http.c:874              => Send header: Accept: */*
07:40:31.664077 http.c:874              => Send header: Accept-Encoding: deflate, gzip, br, zstd
07:40:31.664077 http.c:874              => Send header: Pragma: no-cache
07:40:31.664077 http.c:874              => Send header:
07:40:31.664077 http.c:915              == Info: Request completely sent off
07:40:31.863021 http.c:862              <= Recv header, 0000000027 bytes (0x0000001b)
07:40:31.863021 http.c:874              <= Recv header: HTTP/1.1 401 Unauthorized
07:40:31.863021 http.c:862              <= Recv header, 0000000026 bytes (0x0000001a)
07:40:31.863021 http.c:874              <= Recv header: Server: GitHub-Babel/3.0
07:40:31.863021 http.c:862              <= Recv header, 0000000054 bytes (0x00000036)
